Deep size	Num units	Learning rate	Accuracy	Tiempo de ejecución
5	4	0.001	0.9677000045776367	22.435649633407593
7	16	0.01	0.9677000045776367	22.183987617492676
6	31	0.01	0.9677000045776367	21.863064527511597
2	6	0.001	0.9677000045776367	21.661388397216797
4	21	0.001	0.9677000045776367	21.64906072616577
7	13	0.001	0.9677000045776367	18.96392011642456
8	31	0.0005	0.9675999879837036	43.03626537322998
4	89	0.001	0.9675999879837036	29.169118642807007
9	13	0.001	0.9675999879837036	22.717926502227783
2	89	0.01	0.9675999879837036	21.661570072174072
6	6	0.001	0.9675999879837036	17.567705631256104
3	13	0.001	0.9675999879837036	16.913634538650513
2	10	0.001	0.9675999879837036	15.992473840713501
3	5	0.005	0.9675999879837036	15.312687635421753
6	6	0.005	0.9675999879837036	14.921330451965332
7	3	0.05	0.9675999879837036	13.121612787246704
6	6	0.01	0.9675999879837036	12.662427425384521
2	8	0.005	0.9675999879837036	10.926867246627808
3	89	0.0001	0.9674999713897705	42.684919118881226
5	68	0.0001	0.9674999713897705	42.19887590408325
8	68	0.005	0.9674999713897705	38.48920798301697
4	89	0.0005	0.9674999713897705	30.674504041671753
6	68	0.005	0.9674999713897705	22.471871852874756
3	55	0.0001	0.9674999713897705	21.693324327468872
4	31	0.001	0.9674999713897705	21.636940240859985
2	21	0.001	0.9674999713897705	21.636255979537964
7	10	0.0005	0.9674999713897705	20.79619598388672
3	31	0.0005	0.9674999713897705	17.95896005630493
4	13	0.0005	0.9674999713897705	17.83674693107605
3	13	0.0005	0.9674999713897705	17.79711365699768
3	26	0.0005	0.9674999713897705	16.956881523132324
6	42	0.005	0.9674999713897705	16.900671005249023
2	6	0.005	0.9674999713897705	12.059125900268555
9	21	0.01	0.9674000144004822	43.317615270614624
6	55	0.005	0.9674000144004822	42.350151777267456
6	89	0.01	0.9674000144004822	36.65789318084717
9	8	0.0005	0.9674000144004822	25.265079021453857
8	6	0.01	0.9674000144004822	22.604177474975586
7	6	0.001	0.9674000144004822	22.05497646331787
2	31	0.0005	0.9674000144004822	21.532702922821045
9	42	0.005	0.9674000144004822	20.003998041152954
8	10	0.01	0.9674000144004822	19.94923996925354
6	16	0.01	0.9674000144004822	16.818280696868896
4	55	0.01	0.9674000144004822	13.645612478256226
8	89	5e-05	0.9672999978065491	83.74297094345093
9	6	0.001	0.9672999978065491	43.135104179382324
8	21	0.0001	0.9672999978065491	22.912619590759277
6	10	0.005	0.9672999978065491	21.867125511169434
6	16	0.001	0.9672999978065491	21.856178998947144
8	13	0.0005	0.9672999978065491	21.76061224937439
5	16	0.005	0.9672999978065491	21.70759344100952
2	42	0.01	0.9672999978065491	21.656763315200806
2	16	0.005	0.9672999978065491	21.47323727607727
5	8	0.05	0.9672999978065491	15.781301736831665
3	42	0.0005	0.9672999978065491	14.243584156036377
5	8	0.005	0.9672999978065491	13.211434602737427
6	89	5e-05	0.967199981212616	42.98733735084534
6	42	0.0001	0.967199981212616	42.35916018486023
5	16	0.01	0.967199981212616	21.907331228256226
4	6	0.001	0.967199981212616	15.876973867416382
4	5	0.01	0.967199981212616	15.551692724227905
8	31	0.0001	0.9671000242233276	43.083110332489014
5	89	0.0001	0.9671000242233276	42.23212957382202
4	8	0.001	0.9671000242233276	22.25462031364441
5	5	0.005	0.9671000242233276	22.045246124267578
3	8	0.005	0.9671000242233276	21.873924732208252
5	16	0.0005	0.9671000242233276	21.774099826812744
3	6	0.01	0.9671000242233276	21.711715698242188
4	26	0.005	0.9671000242233276	21.662312030792236
2	21	0.0005	0.9671000242233276	21.651923418045044
3	8	0.0005	0.9671000242233276	21.634180784225464
2	13	0.001	0.9671000242233276	21.473966598510742
8	6	0.001	0.9671000242233276	17.81329894065857
7	42	0.001	0.9670000076293945	25.29076075553894
8	16	0.0005	0.9670000076293945	22.609468936920166
7	31	0.0005	0.9670000076293945	21.86726975440979
3	13	0.01	0.9670000076293945	21.816048860549927
2	31	0.001	0.9670000076293945	21.64234232902527
3	68	0.005	0.9670000076293945	21.550671577453613
8	5	0.001	0.9670000076293945	16.838996410369873
4	5	0.001	0.9670000076293945	16.60332202911377
6	68	0.0005	0.9668999910354614	42.981385707855225
